Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_01, 5, 18006, 2025-02-13T11:23:49.678808, SUCCESS, 2602, 11, 90379, 6506217, 72, 4715470848, 0.0, 0.0, 98.6299145801865083
Exp_01, 5, 18007, 2025-02-13T11:23:48.907199, SUCCESS, 3388, 10, 90379, 6506577, 72, 4715470848, 0.0, 0.0, 98.6299893466016751
Exp_01, 5, 18007, 2025-02-13T11:23:50.157389, SUCCESS, 2875, 13, 90379, 6601001, 73, 4782120960, 0.0, 0.0, 98.6493219634813745
Exp_01, 5, 18008, 2025-02-13T11:23:51.400524, SUCCESS, 2642, 12, 90379, 6696061, 74, 4847747072, 0.0, 0.0, 98.6682413754486889
Exp_01, 5, 18006, 2025-02-13T11:23:51.611263, SUCCESS, 2804, 13, 90379, 6791061, 75, 4913405952, 0.0, 0.0, 98.6866266362854286
Exp_01, 5, 18007, 2025-02-13T11:23:52.290503, SUCCESS, 2450, 11, 90379, 6886729, 76, 4978696192, 0.0, 0.0, 98.7046352156222893
Exp_01, 5, 18008, 2025-02-13T11:23:52.299670, SUCCESS, 3021, 14, 90379, 6981061, 77, 5045346304, 0.0, 0.0, 98.7219151969047323
Exp_01, 5, 18006, 2025-02-13T11:23:53.037514, SUCCESS, 2764, 14, 90379, 7075001, 78, 5111996416, 0.0, 0.0, 98.7386712219030952
Exp_01, 5, 18007, 2025-02-13T11:23:54.055241, SUCCESS, 2421, 13, 90379, 7169609, 79, 5177688064, 0.0, 0.0, 98.7551081351649617
Exp_01, 5, 18008, 2025-02-13T11:23:54.422068, SUCCESS, 2802, 12, 90379, 7290723, 80, 5243396096, 0.0, 0.0, 98.7755351436682490
Exp_01, 5, 18006, 2025-02-13T11:23:54.750809, SUCCESS, 2645, 13, 90379, 7359493, 81, 5309063168, 0.0, 0.0, 98.7868382168176849
Exp_01, 5, 18007, 2025-02-13T11:23:55.323379, SUCCESS, 2774, 14, 90379, 7449665, 82, 5375713280, 0.0, 0.0, 98.8013465173412781
Exp_01, 5, 18008, 2025-02-13T11:23:55.804166, SUCCESS, 3045, 13, 90379, 7582489, 83, 5442363392, 0.0, 0.0, 98.8220962487560062
Exp_01, 5, 18006, 2025-02-13T11:23:56.485656, SUCCESS, 2653, 14, 90379, 7630677, 84, 5507932160, 0.0, 0.0, 98.8294476817678825
