Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_02, 3, 18008, 2025-02-13T11:00:15.123766, SUCCESS, 1564, 10, 944029, 4317169, 4, 192184320, 0.0, 0.0, 82.0567672990068042
Exp_02, 3, 18007, 2025-02-13T11:00:14.528919, SUCCESS, 2224, 10, 965623, 4397872, 4, 192184320, 0.0, 0.0, 81.9963848199727976
Exp_02, 3, 18007, 2025-02-13T11:00:12.950826, SUCCESS, 5273, 12, 984413, 4477331, 5, 258834432, 0.0, 0.0, 81.9762149232919009
Exp_02, 3, 18007, 2025-02-13T11:00:16.755628, SUCCESS, 1805, 10, 986738, 4577308, 5, 258834432, 0.0, 0.0, 82.2658187944528137
Exp_02, 3, 18006, 2025-02-13T11:00:16.691454, SUCCESS, 2808, 10, 1017571, 4649037, 5, 258834432, 0.0, 0.0, 82.0426787947922284
Exp_02, 3, 18006, 2025-02-13T11:00:18.564714, SUCCESS, 1593, 10, 1017578, 4751603, 5, 258834432, 0.0, 0.0, 82.3618291747130139
Exp_02, 3, 18007, 2025-02-13T11:00:19.506080, SUCCESS, 1191, 10, 1017579, 4853926, 5, 258834432, 0.0, 0.0, 82.6691963985383645
Exp_02, 3, 18006, 2025-02-13T11:00:20.699642, SUCCESS, 1395, 10, 1019564, 4954480, 5, 258834432, 0.0, 0.0, 82.9334367138909590
Exp_02, 3, 18008, 2025-02-13T11:00:20.160765, SUCCESS, 2145, 10, 1043565, 5032764, 5, 258834432, 0.0, 0.0, 82.8257324447046893
Exp_02, 3, 18008, 2025-02-13T11:00:18.227334, SUCCESS, 5592, 10, 1064049, 5212846, 6, 325484544, 0.0, 0.0, 83.0481631443572021
Exp_02, 3, 18008, 2025-02-13T11:00:22.309035, SUCCESS, 1552, 12, 1064049, 5212846, 6, 325484544, 0.0, 0.0, 83.0481631443572021
Exp_02, 3, 18007, 2025-02-13T11:00:22.097929, SUCCESS, 2115, 10, 1093245, 5285946, 6, 325484544, 0.0, 0.0, 82.8623253324755443
Exp_02, 3, 18008, 2025-02-13T11:00:24.219666, SUCCESS, 1222, 10, 1094803, 5386705, 6, 325484544, 0.0, 0.0, 83.1088228233306200
Exp_02, 3, 18006, 2025-02-13T11:00:23.824608, SUCCESS, 2331, 10, 1137344, 5446734, 6, 325484544, 0.0, 0.0, 82.7258425553281720
Exp_02, 3, 18006, 2025-02-13T11:00:25.445156, SUCCESS, 1252, 10, 1141537, 5545092, 6, 325484544, 0.0, 0.0, 82.9280643505120443
Exp_02, 3, 18007, 2025-02-13T11:00:26.160088, SUCCESS, 1920, 10, 1160363, 5628586, 7, 353296384, 0.0, 0.0, 82.9080613214210329
Exp_02, 3, 18007, 2025-02-13T11:00:23.868317, SUCCESS, 5115, 12, 1170783, 5716395, 8, 419946496, 0.0, 0.0, 83.0005410053290332
Exp_02, 3, 18008, 2025-02-13T11:00:26.700807, SUCCESS, 2342, 10, 1199986, 5789458, 8, 419946496, 0.0, 0.0, 82.8314526877960536
Exp_02, 3, 18006, 2025-02-13T11:00:28.082959, SUCCESS, 2182, 10, 1222877, 5869094, 8, 419946496, 0.0, 0.0, 82.7568809855539454
Exp_02, 3, 18008, 2025-02-13T11:00:29.045423, SUCCESS, 1386, 8, 1223505, 5970777, 8, 419946496, 0.0, 0.0, 82.9933689004684554
Exp_02, 3, 18007, 2025-02-13T11:00:28.986389, SUCCESS, 4523, 8, 1256466, 6036045, 9, 486596608, 0.0, 0.0, 82.7704613678333841
Exp_02, 5, 18006, 2025-02-13T11:00:38.524781, SUCCESS, 1041, 8, 1267304, 6128528, 9, 486596608, 0.0, 0.0, 82.8646188826355169
Exp_02, 5, 18007, 2025-02-13T11:00:39.568914, SUCCESS, 1158, 10, 1276287, 6221841, 9, 486596608, 0.0, 0.0, 82.9785914564275243
Exp_02, 5, 18008, 2025-02-13T11:00:39.770167, SUCCESS, 2639, 10, 1308516, 6291902, 10, 520142848, 0.0, 0.0, 82.7836311108152210
Exp_02, 5, 18006, 2025-02-13T11:00:40.733430, SUCCESS, 1998, 10, 1346977, 6355999, 10, 520142848, 0.0, 0.0, 82.5135506069342550
Exp_02, 5, 18006, 2025-02-13T11:00:42.413355, SUCCESS, 1372, 10, 1346977, 6458549, 10, 520142848, 0.0, 0.0, 82.7432898180084212
Exp_02, 5, 18007, 2025-02-13T11:00:42.734847, SUCCESS, 2046, 10, 1348186, 6559660, 11, 547962880, 0.0, 0.0, 82.9512866082622246
Exp_02, 5, 18007, 2025-02-13T11:00:41.023130, SUCCESS, 4106, 11, 1351131, 6654964, 12, 614612992, 0.0, 0.0, 83.1237201157368230
Exp_02, 5, 18006, 2025-02-13T11:00:43.787999, SUCCESS, 1498, 11, 1351165, 6757934, 12, 614612992, 0.0, 0.0, 83.3376679702640207
Exp_02, 5, 18007, 2025-02-13T11:00:44.786670, SUCCESS, 1326, 11, 1351165, 6860613, 12, 614612992, 0.0, 0.0, 83.5460115945657566
Exp_02, 5, 18008, 2025-02-13T11:00:45.148422, SUCCESS, 2400, 11, 1370045, 6953238, 12, 614612992, 0.0, 0.0, 83.5396081089637346
Exp_02, 5, 18007, 2025-02-13T11:00:46.121340, SUCCESS, 3432, 12, 1396168, 7038612, 12, 614612992, 0.0, 0.0, 83.4474876641714425
Exp_02, 5, 18008, 2025-02-13T11:00:47.554437, SUCCESS, 2501, 12, 1399952, 7145940, 12, 614612992, 0.0, 0.0, 83.6184215761210181
Exp_02, 5, 18008, 2025-02-13T11:00:43.520762, SUCCESS, 6942, 12, 1423818, 7336236, 14, 747913216, 0.0, 0.0, 83.7464700560065041
Exp_02, 5, 18008, 2025-02-13T11:00:42.273416, SUCCESS, 8189, 12, 1423818, 7336236, 14, 747913216, 0.0, 0.0, 83.7464700560065041
Exp_02, 5, 18006, 2025-02-13T11:00:45.294180, SUCCESS, 6424, 13, 1440370, 7427750, 15, 814563328, 0.0, 0.0, 83.7578878048560462
Exp_02, 5, 18006, 2025-02-13T11:00:49.563033, SUCCESS, 2524, 12, 1459257, 7511791, 17, 870187008, 0.0, 0.0, 83.7337064744275139
Exp_02, 5, 18007, 2025-02-13T11:00:50.060484, SUCCESS, 2469, 12, 1479107, 7594263, 18, 897998848, 0.0, 0.0, 83.6983722696197774
Exp_02, 5, 18008, 2025-02-13T11:00:52.090343, SUCCESS, 1840, 12, 1489595, 7686106, 18, 897998848, 0.0, 0.0, 83.7658724930117056
Exp_02, 5, 18006, 2025-02-13T11:00:52.532745, SUCCESS, 1871, 12, 1496730, 7781541, 18, 897998848, 0.0, 0.0, 83.8684384191839191
Exp_02, 5, 18006, 2025-02-13T11:00:50.469895, SUCCESS, 4539, 14, 1504192, 7881361, 19, 964648960, 0.0, 0.0, 83.9733258125546785
Exp_02, 5, 18008, 2025-02-13T11:00:54.408360, SUCCESS, 1593, 12, 1504192, 7983696, 19, 964648960, 0.0, 0.0, 84.1461872231206776
Exp_02, 5, 18008, 2025-02-13T11:00:50.469895, SUCCESS, 6326, 14, 1516843, 8078066, 20, 1031299072, 0.0, 0.0, 84.1911684623585278
Exp_02, 5, 18007, 2025-02-13T11:00:53.936274, SUCCESS, 3244, 12, 1541126, 8156082, 20, 1031299072, 0.0, 0.0, 84.1075286824826280
Exp_02, 5, 18007, 2025-02-13T11:00:56.005305, SUCCESS, 1394, 12, 1541126, 8258401, 20, 1031299072, 0.0, 0.0, 84.2734654437913177
Exp_02, 5, 18007, 2025-02-13T11:00:51.726524, SUCCESS, 6454, 14, 1562810, 8343744, 21, 1097949184, 0.0, 0.0, 84.2244841142540585
Exp_02, 5, 18007, 2025-02-13T11:00:57.402284, SUCCESS, 1266, 12, 1562810, 8446078, 21, 1097949184, 0.0, 0.0, 84.3857779205841848
Exp_02, 5, 18006, 2025-02-13T11:00:57.185250, SUCCESS, 2887, 10, 1587660, 8626356, 22, 1125761024, 0.0, 0.0, 84.4560650776344975
Exp_02, 5, 18006, 2025-02-13T11:00:58.671567, SUCCESS, 1411, 10, 1587660, 8626356, 22, 1125761024, 0.0, 0.0, 84.4560650776344975
